id,word,freq,doc_freq
1084,antibiotics,785,240
2314,resistance,592,240
376,relieve,554,240
182,nausea,452,240
9113,toward,357,240
1765,management,353,240
1118,never,306,240
2211,great,301,240
1382,birth,553,239
438,ask,310,239
5143,question,282,239
4856,regions,414,238
3955,community,379,238
3496,investigators,356,238
1230,easily,294,238
3441,estimated,277,238
1906,considered,269,238
1366,happens,296,237
5032,designed,273,237
3221,noted,272,237
3419,survival,533,236
1763,rich,470,236
1024,detect,437,236
256,keeping,347,236
595,alone,286,236
3087,measured,280,236
964,assess,278,236
1718,indicates,277,236
596,provided,261,236
2291,tumors,731,235
5216,dr,535,235
2779,events,388,235
1079,rest,321,235
4809,followed,263,235
1878,controlled,271,234
740,containing,338,233
703,hormone,622,231
3153,goes,262,231
1246,asked,309,230
2950,compounds,499,229
309,frequently,275,229
5054,neurons,936,228
2714,consumption,431,228
1785,interventions,312,228
573,reach,284,228
3838,pregnant,568,227
742,metabolism,489,226
112,develops,297,226
4183,collected,268,226
477,involve,266,226
3417,importance,256,226
1176,worldwide,252,226
2523,funded,244,226
335,failure,462,225
1170,tool,352,225
1076,steps,309,225
273,stay,276,225
879,act,267,225
2437,basis,263,225
1368,eventually,254,225
254,mouth,636,224
1762,balance,319,224
918,immediately,289,224
672,confirm,262,224
114,administration,254,224
1025,illness,373,223
1350,cdc,356,223
5445,exposed,342,223
4890,targeted,301,223
3562,improving,297,223
2287,approaches,270,223
3334,unique,260,223
568,cold,558,222
1702,metabolic,469,222
1982,release,326,222
2007,knowledge,290,222
785,concluded,256,222
1590,muscles,609,221
2139,option,299,221
120,dangerous,295,221
4807,worked,270,221
2830,done,244,221
1397,nerve,605,220
1203,stages,364,220
817,breast,1615,219
937,professional,361,219
5100,practice,330,219
66,counter,285,219
3756,decades,276,219
1753,gut,966,218
2033,aging,531,218
2558,brains,331,218
2319,direct,286,218
1265,beyond,249,218
704,supplements,714,217
961,procedure,496,217
2362,intervention,360,217
7109,region,314,217
2621,project,302,217
4694,completely,250,217
1866,continues,239,217
1359,triggers,472,216
1664,receiving,301,216
3337,complete,266,216
3601,applied,252,216
1905,kind,248,216
766,mood,550,215
551,boost,334,215
3568,field,317,215
953,ages,303,215
2330,sensitive,326,214
1650,action,288,214
10333,collaboration,244,214
979,ones,238,214
2375,excess,353,213
2391,moderate,340,213
3308,naturally,308,213
1666,chance,293,213
1269,advanced,288,213
216,investigated,254,213
1026,aim,249,213
2192,changing,247,213
983,bone,842,212
90,fluid,508,212
1567,painful,438,212
2657,reaction,377,212
2922,responses,318,212
1179,diagnosed,298,212
3959,reduces,266,212
936,everyone,263,212
2873,initial,263,212
1427,flow,443,211
719,female,433,211
3209,genetics,312,211
633,frequent,294,211
1883,line,281,211
1733,species,474,210
884,male,446,210
7716,engineering,373,210
1856,mass,349,210
1926,surface,345,210
4758,central,270,210
1911,helping,244,210
1327,network,374,209
4161,global,327,209
1064,monitor,281,209
2170,sure,256,209
539,alzheimer,993,208
887,adverse,307,208
3365,threatening,300,208
214,build,252,208
359,describe,243,208
4004,sense,306,207
2923,targets,290,207
1241,came,255,207
92,oral,544,206
2420,psychological,393,206
2159,meaning,242,206
1183,expected,226,206
2243,eye,609,205
1714,attacks,394,205
4413,deaths,393,205
3170,gain,388,205
6613,molecule,361,205
2329,consuming,346,205
1311,cost,319,205
1420,decreased,258,205
3344,nutrients,415,204
757,experts,258,204
3428,vitamin,1144,203
48,left,325,203
2948,via,248,203
18,digestive,386,202
118,dose,371,202
1797,sources,338,202
1560,normally,232,202
4317,implications,232,202
1677,seems,222,202
399,vessels,414,201
276,drink,396,201
536,account,235,201
1934,created,235,201
2975,suggesting,215,201
392,lungs,611,200
849,vegetables,528,200
3070,populations,309,200
310,smaller,267,200
3128,california,262,200
5841,forward,257,200
263,starting,248,200
1656,member,244,200
4399,identifying,227,200
924,lose,367,199
3227,excessive,306,199
3140,regulate,262,199
1853,soon,251,199
1668,points,249,199
1790,required,233,199
2481,affecting,232,199
1789,stem,910,198
1319,hands,439,198
2389,outside,281,198
2149,top,268,198
2165,becoming,233,198
1442,functional,308,197
2918,goal,220,197
1153,academy,210,197
253,dry,566,196
1657,predict,307,196
2739,younger,287,196
732,popular,279,196
3105,highest,252,195
720,produces,231,195
484,address,215,195
6413,extremely,240,194
19,tract,380,193
1889,easier,239,193
2708,efforts,231,193
2305,carried,228,193
1951,promising,217,193
1787,exactly,215,193
1770,nutrition,293,192
4572,finds,238,192
2005,mutations,481,191
1842,extra,286,191
1499,rapid,254,191
3303,rise,232,191
12,acute,363,190
1339,eyes,296,190
1060,apply,268,190
143,widely,217,190
6893,postdoctoral,215,190
3709,providing,210,190
362,chest,580,189
1544,substance,488,189
4929,pathway,349,189
548,links,265,189
3252,block,253,189
1959,producing,250,189
3687,chemicals,348,188
3953,behavioral,273,188
1872,induced,254,188
3322,performed,243,188
3192,concerns,236,188
1045,depends,232,188
947,successful,229,188
3176,respiratory,503,187
1439,strategy,267,187
559,neuroscience,263,187
32,bleeding,532,186
842,fatty,478,186
3631,behaviors,325,186
270,interactions,303,186
1632,deep,299,185
75,image,637,184
0,diarrhea,457,184
903,emergency,387,184
4213,genome,382,184
744,abnormal,296,184
4163,tools,243,184
2075,seem,208,184
4106,toxic,347,183
3121,guidelines,296,183
2108,choose,272,183
3971,interact,250,183
4943,contrast,224,183
1302,achieve,214,183
3774,education,321,182
1043,fast,317,182
4488,formation,267,182
2511,break,240,182
3911,organization,228,181
1082,moving,224,181
4571,challenges,214,181
2347,established,211,181
87,ongoing,206,181
4233,fellow,193,181
2306,chemotherapy,590,180
1585,remedies,502,180
2619,emotional,389,180
198,prescription,352,180
2365,performance,342,180
7653,explained,226,180
2685,challenging,216,180
5396,consequences,209,180
1647,unclear,192,180
4325,viral,470,179
407,oxygen,446,179
2637,training,411,179
5937,design,258,179
1116,appropriate,216,179
1391,happen,212,179
2178,allowed,202,179
3513,investigator,200,179
956,joint,478,178
1766,substances,304,178
3017,vomiting,303,178
391,functioning,249,178
1645,maintaining,218,178
2841,aware,209,178
2934,entire,209,178
2634,corresponding,199,178
2930,relevant,198,178
1658,hormones,373,177
2814,prior,216,177
5140,combined,214,177
552,likelihood,211,177
3111,finally,200,177
2403,month,292,176
1231,damaged,265,176
2707,features,238,176
2871,accurate,231,176
3745,ever,202,176
3325,post,273,175
3558,thinking,241,175
4549,near,241,175
2158,concern,212,175
2427,special,209,175
570,majority,202,175
2979,glucose,544,174
910,surgical,328,174
1441,onset,292,174
5587,strength,275,174
1436,date,215,174
5409,started,211,174
2280,cholesterol,614,173
533,relief,340,173
3679,infected,318,173
2897,pathways,308,173
6251,traditional,248,173
4553,protective,233,173
2545,members,221,173
946,bring,204,173
4597,ultimately,196,173
2348,resistant,418,172
2196,sign,305,172
935,suitable,243,172
4544,die,232,172
4770,slowly,232,172
1556,involving,193,172
1457,c,769,171
1034,recovery,414,171
2457,injuries,377,171
5603,nervous,246,171
73,bowel,573,170
405,air,462,170
2028,countries,310,170
2151,cover,215,170
2579,tell,205,170
1898,closely,190,170
1973,possibly,188,170
3057,answer,188,170
4434,signaling,318,169
10027,centre,231,169
3236,neurological,230,169
2921,helpful,211,169
2407,rapidly,193,169
606,viruses,440,168
3364,signal,270,168
117,recommended,249,168
932,professionals,232,168
65,managing,217,168
791,limit,214,168
379,depend,207,168
1479,refer,205,168
6903,demonstrate,186,168
4574,enzyme,335,167
5483,computer,283,167
2728,bodies,258,167
2866,giving,231,167
1295,alongside,212,167
393,unable,204,167
3501,detailed,194,167
659,interested,187,167
2190,services,312,166
2593,psychology,252,166
4998,pattern,242,166
872,seven,212,166
3758,assessed,187,166
3451,described,186,166
2169,characteristics,229,165
2107,allowing,190,165
3019,otherwise,182,165
2209,night,448,164
74,movements,328,164
383,appetite,303,164
1145,applying,303,164
6101,infectious,242,164
7038,experimental,228,164
1033,faster,224,164
3666,personal,221,164
2610,aspects,191,164
8347,communication,289,163
7080,structures,258,163
1988,harm,248,163
1127,gets,198,163
1467,progress,197,163
4340,tiny,197,163
3412,scientist,188,163
5529,showing,179,163
3948,true,178,163
1642,oil,1298,162
1316,autoimmune,342,162
2049,policy,324,162
115,fda,305,162
3658,bad,223,162
1083,discomfort,289,161
6373,content,284,161
756,doses,257,161
888,reactions,257,161
1741,twice,207,161
2288,challenge,193,161
1255,successfully,183,161
967,shape,276,160
1828,division,206,160
6720,presented,185,160
1294,confirmed,179,160
146,fiber,669,159
467,organ,306,159
1304,sensitivity,306,159
387,persistent,275,159
268,medicines,245,159
70,examples,234,159
1767,january,198,159
6959,gives,173,159
1169,screening,368,158
2937,interest,210,158
1260,thousands,190,158
2738,increasingly,182,158
4193,determined,174,158
1007,arthritis,646,157
1004,hold,240,157
5043,class,240,157
3580,success,233,157
7091,late,230,157
2227,tends,205,157
3612,slightly,195,157
3130,ca,182,157
3117,conclude,163,157
208,acids,414,156
6220,mortality,303,156
1050,local,246,156
3011,consume,235,156
995,removing,219,156
3483,immediate,217,156
2726,targeting,200,156
564,dementia,605,155
1678,decline,352,155
318,diets,341,155
374,upper,299,155
5078,cycle,254,155
375,difficulties,236,155
1884,share,208,155
2346,write,193,155
1222,reveals,173,155
777,calories,546,154
944,big,223,154
1300,product,212,154
761,approved,204,154
1891,numbers,186,154
1032,encourage,185,154
902,urine,542,153
1386,parents,410,153
4430,receptor,398,153
2711,compound,368,153
4086,monitoring,230,153
4685,internal,221,153
1077,speed,197,153
2625,enter,191,153
9346,graduate,191,153
3406,series,173,153
4303,simply,167,153
2998,status,240,152
929,advice,197,152
2833,ago,191,152
998,correct,186,152
1700,appeared,176,152
4443,understood,159,152
1345,walking,272,151
3034,pass,220,151
3810,surrounding,212,151
1347,weakness,211,151
4189,controls,200,151
1328,estimate,189,151
3403,newly,185,151
3835,towards,184,151
2299,run,177,151
5008,unknown,172,151
1158,offers,166,151
1958,insulin,848,150
1596,fruits,324,150
2045,clinic,242,150
3392,building,199,150
4585,remained,163,150
4704,abdominal,347,149
3106,derived,228,149
2631,experiment,224,149
369,notice,206,149
4584,location,198,149
6087,list,194,149
833,fish,526,148
806,fruit,436,148
443,x,433,148
1673,females,351,148
1542,inhibitors,350,148
1601,hot,266,148
3714,solution,253,148
7287,material,248,148
2598,processing,244,148
3849,kill,212,148
1074,drive,208,148
2915,interaction,200,148
4137,read,198,148
2092,plans,182,148
907,reveal,165,148
4625,extent,162,148
2363,exciting,159,148
5933,communications,154,148
955,repair,311,147
2656,neural,303,147
8727,uk,244,147
3162,physicians,242,147
2069,survey,231,147
949,intense,227,147
4845,concludes,157,147
3152,woman,445,146
3046,plant,387,146
503,overweight,274,146
164,stores,242,146
2216,middle,236,146
1062,room,212,146
172,name,205,146
6291,eight,175,146
6332,investigation,167,146
2205,unlike,156,146
3159,device,336,145
2008,illnesses,209,145
951,estimates,184,145
4362,properly,184,145
6479,chair,166,145
1989,baby,576,144
5156,antibiotic,532,144
2835,heavy,260,144
2031,regulation,214,144
11649,biomedical,205,144
1468,diagnostic,196,144
7557,began,185,144
960,expect,179,144
1768,milk,666,143
329,breath,367,143
459,electrical,310,143
486,sleeping,295,143
1641,nutritional,271,143
1229,words,261,143
1466,scans,254,143
975,soft,229,143
3175,site,214,143
25,beginning,168,143
3695,usual,189,142
2240,vision,295,141
989,devices,277,141
3497,san,245,141
2752,value,207,141
277,plenty,206,141
1259,powerful,181,141
4013,helped,180,141
2370,basic,174,141
519,alter,161,141
3213,controlling,157,141
4264,perhaps,156,141
771,males,319,140
2931,components,189,140
2198,begins,169,140
2359,enhance,169,140
266,wish,164,140
3187,possibility,159,140
3103,whereas,154,140
1147,feet,377,139
1619,warm,236,139
326,lost,190,139
3442,european,181,139
1609,setting,166,139
5051,insights,153,139
1717,activation,223,138
3781,clinicians,212,138
2669,activated,204,138
1684,genetically,194,138
763,aid,188,138
3241,index,186,138
435,examination,174,138
7123,occurring,167,138
850,distinct,164,138
3426,extended,164,138
5465,thing,151,138
3705,primarily,146,138
1687,frequency,207,137
6936,psychiatry,193,137
1150,seeing,167,137
4579,receptors,286,136
734,feelings,229,136
3769,matter,225,136
6562,prevalence,186,136
8053,track,184,136
2464,mind,178,136
655,comprehensive,167,136
1245,separate,165,136
2499,terms,155,136
5958,born,216,135
996,return,197,135
507,advise,181,135
4424,york,179,135
1918,probably,172,135
3167,lasting,170,135
1323,upon,161,135
4903,enable,152,135
1646,exact,144,135
4110,allergic,373,134
1987,delivery,305,134
3147,childhood,235,134
591,news,221,134
2710,raise,200,134
2127,specialists,176,134
2645,recognize,164,134
2436,establish,155,134
620,kingdom,139,134
1199,mri,353,133
2147,families,226,133
4784,concentration,210,133
223,improvement,201,133
1014,power,175,133
5443,impacts,162,133
5777,consistent,158,133
3465,component,151,133
